,average,average,average,average,average,average,average,average,average,average,average,average,max,max,max,max,max,max,max,max,max,max,max,max,min,min,min,min,min,min,min,min,min,min,min,min
node_id,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0
measurement_bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28 17:00:00+00:00,2840.1196172248806,2973.441935483871,3439.2795031055903,5691.6509433962265,41.622009569377994,66.95283018867924,-0.30115830115830117,-0.205761316872428,8.095612456747403,8.816782396088017,42.5,38.5,5000.0,5007.0,77143.0,271997.0,164.0,176.0,42.0,48.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-46.0,0.0,0.0,42.0,38.0
2023-03-28 17:15:00+00:00,3154.1346153846152,2747.8792270531403,2596.663594470046,4386.626943005182,39.357859531772576,67.14367816091954,0.08746355685131195,0.4523809523809524,9.779305494505499,7.282170542635661,42.5,38.5,5002.0,5005.0,40000.0,65732.0,164.0,176.0,33.0,46.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.0,-42.0,0.0,0.0,42.0,38.0
2023-03-28 17:30:00+00:00,3067.6859205776173,3060.521875,3693.36815920398,4218.064189189189,42.60683760683761,66.57534246575342,-0.7915309446254072,0.11857707509881422,8.363165775401077,9.251025906735743,42.5,38.5,5001.0,5014.0,146571.0,203074.0,164.0,176.0,47.0,43.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,-48.0,0.0,0.0,42.0,38.0
2023-03-28 17:45:00+00:00,3128.911111111111,2938.7652173913043,4849.530054644809,4457.035087719299,38.68075117370892,69.45370370370371,0.1827956989247312,0.33783783783783783,9.596396782841833,7.939032679738562,42.5,38.5,5001.0,5004.0,200571.0,169714.0,164.0,176.0,40.0,45.0,39.056,30.048,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-48.0,0.0,0.0,42.0,38.0
2023-03-28 18:00:00+00:00,3154.7284345047924,2858.6254416961133,2539.386934673367,3469.6153846153848,37.25704225352113,64.6780303030303,-0.8092485549132948,-0.1825726141078838,9.705257142857143,8.875665706051874,42.5,38.5,5002.0,5003.0,138857.0,133821.0,164.0,176.0,45.0,36.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,-49.0,0.0,0.0,42.0,38.0
2023-03-28 18:15:00+00:00,3067.272,2936.1901639344264,4859.83908045977,4485.241007194245,39.81516587677725,69.58273381294964,-0.7867647058823529,0.6327433628318584,8.255500000000008,8.682982005141385,42.5,38.5,5002.0,5004.0,181286.0,180107.0,164.0,176.0,38.0,48.0,39.056,30.048,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-49.0,0.0,0.0,42.0,38.0
2023-03-28 18:30:00+00:00,3191.7127071823206,2886.4528301886794,4100.044642857143,3606.169014084507,43.64478764478765,66.38974358974359,-0.46111111111111114,-0.2703862660944206,9.445605095541383,7.964213740458017,42.44444444444444,38.5,5002.0,5003.0,177429.0,40000.0,164.0,176.0,41.0,50.0,39.056,30.048,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-47.0,0.0,0.0,42.0,38.0
2023-03-28 18:45:00+00:00,2832.65,2906.187134502924,3833.770700636943,3867.0584615384614,43.431924882629104,67.02461538461539,-1.1369294605809128,0.7377622377622378,8.34878873239437,8.45164319248827,42.5,38.5,5001.0,5006.0,123429.0,46286.0,164.0,176.0,20.0,42.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,-40.0,0.0,0.0,42.0,38.0
2023-03-28 19:00:00+00:00,3140.9148936170213,2868.966850828729,2227.2105263157896,5300.182320441989,42.47004608294931,67.10778443113773,-0.26422764227642276,0.7227272727272728,9.64533333333334,8.4348623853211,42.5,38.5,5002.0,5006.0,40000.0,280516.0,164.0,176.0,5.0,47.0,39.056,29.68,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,-9.0,0.0,0.0,42.0,38.0
2023-03-28 19:15:00+00:00,3003.2013201320133,2850.148936170213,3486.363157894737,4905.152263374485,37.31330472103004,68.91705069124424,-0.48148148148148145,0.2703862660944206,9.393959183673466,7.910473684210523,42.55555555555556,38.5,5002.0,5013.0,84857.0,40000.0,164.0,176.0,48.0,50.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.0,-48.0,0.0,0.0,42.0,38.0
